id,programa,latitud,longitud,alcaldia
MEX-AIM-AER-AICMT1-M-GW141,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW142,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW143,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW144,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW145,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW146,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW147,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW148,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW001,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW002,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW003,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW004,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW005,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW006,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW007,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW008,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW009,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW010,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW011,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW012,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW013,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW014,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW015,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW016,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW017,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW018,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW019,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW020,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW021,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW022,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW023,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW024,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW025,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW026,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW027,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW028,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW029,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW030,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW031,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW032,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW033,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW035,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW036,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW037,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW038,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW039,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW040,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW041,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW042,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW043,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW044,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW045,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW046,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW047,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
